代码,名称,类型,国家,是否指数,有效性,消息发送用户_wx,涨跌监测,整点播报,备注
sh000001,上证指数,Stock,CN,TRUE,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
sh601288,农业银行,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
sh601939,建设银行,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
sh600919,江苏银行,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
sh600718,东软集团,Stock,CN,,TRUE,茶叶一主号,TRUE,FALSE,
sh600822,上海物贸,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,FALSE,
sh600060,海信电器,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,FALSE,
sh601069,西部黄金,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,FALSE,
,,,,,,,,,
,,,,,,,,,
sz399001,深圳指数,Stock,CN,TRUE,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
sz002410,广联达,Stock,CN,,FALSE,,TRUE,FALSE,
sz002024,苏宁易购,Stock,CN,,FALSE,,FALSE,FALSE,
,,,,,,,,,
,,,,,,,,,
sz399006,创业板指,Stock,CN,TRUE,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
sz300523,辰安科技,Stock,CN,,TRUE,茶叶一主号,TRUE,TRUE,
sz300512,中亚股份,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
sz300144,宋城演艺,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
sz300036,超图软件,Stock,CN,,TRUE,茶叶一主号,FALSE,TRUE,
sz002827,高争民爆,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,TRUE,
,,,,,,,,,
,,,,,,,,,
sh000300,沪深300,Stock,CN,TRUE,TRUE,茶叶一主号、@*测试群,TRUE,FALSE,
sh512180,建信MSCI,Stock,CN,,TRUE,茶叶一主号、@*测试群,TRUE,FALSE,
